budget,worldwide
400000000.00,2797732053.00
379000000.00,1045713802.00
365000000.00,1395316979.00
306000000.00,2064615817.00
300000000.00,2048359754.00
300000000.00,960996492.00
300000000.00,655945209.00
300000000.00,879077344.00
290000000.00,0.00
275000000.00,1072767997.00
275000000.00,393151347.00
263700000.00,282778100.00
263000000.00,872395091.00
262000000.00,1331635141.00
260000000.00,1647733638.00
260000000.00,583777242.00
258000000.00,894860230.00
250000000.00,1151899586.00
250000000.00,745246850.00
250000000.00,929411069.00
250000000.00,959358436.00
250000000.00,940323039.00
250000000.00,1236703796.00
250000000.00,759959662.00
237000000.00,2910317765.00
232000000.00,391081192.00
230000000.00,1082228107.00
230000000.00,794861794.00
230000000.00,591692078.00
225000000.00,1515100211.00
225000000.00,1066179725.00
225000000.00,667999518.00
225000000.00,417341288.00
225000000.00,260002115.00
220000000.00,757890267.00
220000000.00,313477717.00
217000000.00,602893340.00
215000000.00,1669963641.00
215000000.00,654213485.00
210000000.00,836519699.00
210000000.00,1104054072.00
210000000.00,459260946.00
210000000.00,322459006.00
207000000.00,550517357.00
205000000.00,367262558.00
205000000.00,362261526.00
200000000.00,1910041582.00
200000000.00,1336494320.00
200000000.00,2207986545.00
200000000.00,1242805359.00
200000000.00,1055083596.00
200000000.00,1025006125.00
200000000.00,1073064540.00
200000000.00,1068879522.00
200000000.00,952224986.00
200000000.00,1215392272.00
200000000.00,869087963.00
200000000.00,794697557.00
200000000.00,767562936.00
200000000.00,1025491110.00
200000000.00,1110526981.00
200000000.00,1014938545.00
200000000.00,743455810.00
200000000.00,490359051.00
200000000.00,747862775.00
200000000.00,708996336.00
200000000.00,560155383.00
200000000.00,379751131.00
200000000.00,760732926.00
200000000.00,720752238.00
200000000.00,399866199.00
200000000.00,757677748.00
200000000.00,401731759.00
200000000.00,648455339.00
200000000.00,365491792.00
200000000.00,218202015.00
200000000.00,210469803.00
200000000.00,219535492.00
200000000.00,404560145.00
200000000.00,336359676.00
200000000.00,155999995.00
200000000.00,246356895.00
200000000.00,133357601.00
200000000.00,166360232.00
200000000.00,69973540.00
200000000.00,19220000.00
200000000.00,451178.00
195000000.00,1123794079.00
195000000.00,409953905.00
195000000.00,197687603.00
190000000.00,1514553486.00
190000000.00,467381584.00
190000000.00,531861650.00
190000000.00,353640419.00
190000000.00,315709697.00
190000000.00,411002906.00
190000000.00,156421363.00
187500000.00,333771037.00
186000000.00,585171547.00
185000000.00,998615789.00